frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
1,0.000000000,149.154.167.91,192.168.219.41,6,171
2,0.000243000,192.168.219.41,149.154.167.91,6,66
3,4.502553000,192.168.219.41,3.233.158.25,6,90
4,4.503009000,192.168.219.41,3.233.158.25,6,66
5,4.515618000,,,,22
6,4.650298000,0.0.0.0,255.255.255.255,17,342
7,4.650302000,,,,60
8,4.712665000,192.168.219.41,104.18.39.21,6,98
9,4.714861000,3.233.158.25,192.168.219.41,6,54
10,4.714864000,3.233.158.25,192.168.219.41,6,54
11,4.714986000,192.168.219.41,3.233.158.25,6,54
12,4.720773000,104.18.39.21,192.168.219.41,6,66
13,4.891827000,104.18.39.21,192.168.219.41,6,94
14,4.892368000,192.168.219.41,104.18.39.21,6,66
15,4.961457000,,,,120
16,5.080671000,,,,86
17,5.086567000,,,,86
18,5.086711000,,,,421
19,5.735386000,17.248.221.10,192.168.219.41,6,105
20,5.735389000,17.248.221.10,192.168.219.41,6,90
21,5.736007000,192.168.219.41,17.248.221.10,6,66
22,5.736239000,192.168.219.41,17.248.221.10,6,105
23,5.736713000,192.168.219.41,17.248.221.10,6,90
24,5.737069000,192.168.219.41,17.248.221.10,6,66
25,5.746653000,17.248.221.10,192.168.219.41,6,90
26,5.746779000,192.168.219.41,17.248.221.10,6,78
27,5.781148000,17.248.221.10,192.168.219.41,6,66
28,5.781152000,17.248.221.10,192.168.219.41,6,66
29,5.781155000,17.248.221.10,192.168.219.41,6,66
30,5.791366000,17.248.221.10,192.168.219.41,6,66
31,5.791526000,192.168.219.41,17.248.221.10,6,54
32,5.964413000,,,,159
33,5.989160000,0.0.0.0,255.255.255.255,17,342
34,5.993744000,,,,42
35,6.348434000,,,,42
36,6.348437000,149.154.167.41,192.168.219.41,6,171
37,6.348687000,192.168.219.41,149.154.167.41,6,66
38,6.756185000,,,,42
39,6.756188000,149.154.167.41,192.168.219.41,6,171
40,6.756415000,192.168.219.41,149.154.167.41,6,66
41,7.063390000,,,,42
42,7.370743000,,,,42
43,7.677892000,,,,42
44,7.677895000,,,,42
45,7.677898000,192.168.219.42,224.0.0.251,2,46
46,7.985112000,,,,42
47,7.985115000,,,,42
48,7.985117000,192.168.219.42,224.0.0.251,17,139
49,7.985119000,,,,159
50,8.292932000,192.168.219.42,224.0.0.251,17,111
51,8.292936000,,,,131
52,8.292938000,,,,22
53,8.292943000,0.0.0.0,255.255.255.255,17,344
54,8.292945000,,,,60
55,8.293664000,192.168.219.41,192.168.219.42,17,210
56,8.600086000,0.0.0.0,255.255.255.255,17,354
57,8.908538000,,,,42
58,8.908545000,192.168.219.42,224.0.0.251,17,139
59,8.908547000,,,,159
60,8.908550000,192.168.219.43,224.0.0.251,17,82
61,8.908552000,,,,102
62,8.908554000,192.168.219.43,224.0.0.251,17,103
63,8.908556000,,,,123
64,8.908558000,192.168.219.43,224.0.0.251,17,119
65,8.908561000,,,,139
66,9.523076000,149.154.167.41,192.168.219.41,6,171
67,9.523320000,192.168.219.41,149.154.167.41,6,66
68,10.134056000,192.168.219.43,224.0.0.251,17,119
69,10.134059000,,,,139
70,10.752223000,,,,86
71,10.752452000,,,,78
72,10.772578000,104.18.39.21,192.168.219.41,6,90
73,10.773168000,192.168.219.41,104.18.39.21,6,66
74,10.773173000,192.168.219.41,104.18.39.21,6,90
75,10.773173000,192.168.219.41,104.18.39.21,6,92
76,10.780857000,104.18.39.21,192.168.219.41,6,66
77,10.780863000,104.18.39.21,192.168.219.41,6,66
78,10.877912000,192.168.219.43,224.0.0.251,17,119
79,10.879373000,,,,139
80,11.978889000,192.168.219.42,224.0.0.251,17,139
81,11.978892000,,,,159
82,11.978898000,149.154.167.41,192.168.219.41,6,427
83,11.979149000,192.168.219.41,149.154.167.41,6,66
84,18.067185000,192.168.219.41,149.154.167.41,6,315
85,18.101397000,192.168.219.41,104.18.39.85,6,151
86,18.101955000,192.168.219.41,104.18.39.85,6,1454
87,18.101959000,192.168.219.41,104.18.39.85,6,1454
88,18.101961000,192.168.219.41,104.18.39.85,6,1454
89,18.101963000,192.168.219.41,104.18.39.85,6,1454
90,18.101964000,192.168.219.41,104.18.39.85,6,1454
91,18.101966000,192.168.219.41,104.18.39.85,6,1454
92,18.101967000,192.168.219.41,104.18.39.85,6,1454
93,18.102007000,192.168.219.41,104.18.39.85,6,642
94,18.110172000,104.18.39.85,192.168.219.41,6,66
95,18.110176000,104.18.39.85,192.168.219.41,6,66
96,18.110177000,104.18.39.85,192.168.219.41,6,66
97,18.131834000,192.168.219.41,104.18.39.85,6,642
98,18.139093000,104.18.39.85,192.168.219.41,6,78
99,18.206951000,149.154.167.41,192.168.219.41,6,171
100,18.207165000,192.168.219.41,149.154.167.41,6,66
101,18.208908000,104.18.39.85,192.168.219.41,6,152
102,18.208911000,104.18.39.85,192.168.219.41,6,144
103,18.209187000,192.168.219.41,104.18.39.85,6,66
104,18.375209000,149.154.167.41,192.168.219.41,6,70
105,18.375436000,192.168.219.41,149.154.167.41,6,66
106,18.381282000,149.154.167.41,192.168.219.41,6,171
107,18.381336000,192.168.219.41,149.154.167.41,6,66
108,18.739407000,149.154.167.41,192.168.219.41,6,171
109,18.739632000,192.168.219.41,149.154.167.41,6,66
110,20.562848000,192.168.219.41,17.57.145.152,6,104
111,20.608963000,17.57.145.152,192.168.219.41,6,90
112,20.609358000,192.168.219.41,17.57.145.152,6,66
113,20.719823000,17.57.145.152,192.168.219.41,6,459
114,20.720232000,192.168.219.41,17.57.145.152,6,66
115,20.723835000,192.168.219.41,17.57.145.152,6,98
116,20.803381000,17.57.145.152,192.168.219.41,6,66
117,20.885971000,192.168.219.42,224.0.0.251,17,139
118,20.885975000,,,,159
119,21.989895000,192.168.219.41,17.248.221.64,6,78
