Date,Open,High,Low,Close,Adj Close,Volume
2025-10-07,248.93,251.55,246.81,247.13,247.13,"13,802,700"
2025-10-06,245.78,252.20,245.69,251.51,251.51,"18,309,000"
2025-10-03,245.23,247.12,242.47,246.45,246.45,"19,941,400"
2025-10-02,245.64,247.63,243.10,246.43,246.43,"20,657,500"
2025-10-01,241.18,247.15,239.20,245.54,245.54,"23,967,700"
2025-09-30,243.06,243.68,239.57,243.55,243.55,"22,541,200"
2025-09-29,248.27,251.65,243.20,244.36,244.36,"23,157,200"
2025-09-26,247.79,250.12,246.64,247.18,247.18,"16,594,600"
2025-09-25,244.84,247.32,241.65,246.57,246.57,"17,379,800"
2025-09-24,252.15,252.96,247.22,247.83,247.83,"16,958,500"
2025-09-23,253.65,254.77,251.09,252.34,252.34,"17,521,100"
2025-09-22,254.78,256.31,250.81,252.88,252.88,"20,079,000"
2025-09-19,253.40,256.70,252.07,255.24,255.24,"41,616,800"
2025-09-18,251.86,254.14,250.11,252.33,252.33,"21,166,400"
2025-09-17,251.46,251.95,246.58,249.85,249.85,"20,491,300"
2025-09-16,252.33,253.23,249.71,251.42,251.42,"24,493,500"
2025-09-15,245.14,252.75,244.98,251.76,251.76,"29,935,200"
2025-09-12,240.80,242.42,238.50,241.38,241.38,"14,536,600"
2025-09-11,240.14,242.57,236.58,240.78,240.78,"21,308,600"
2025-09-10,239.25,242.08,238.11,239.56,239.56,"19,990,100"
2025-09-09,234.19,240.59,233.38,239.94,239.94,"22,854,800"
2025-09-08,235.79,238.40,233.73,234.16,234.16,"23,128,800"
2025-09-05,232.66,236.13,232.38,235.17,234.96,"26,127,700"
2025-09-04,230.15,232.77,226.76,232.66,232.45,"32,196,000"
2025-09-03,226.48,231.80,225.12,231.10,230.89,"72,250,300"
2025-09-02,208.99,212.37,206.96,211.99,211.80,"28,900,100"
2025-08-29,211.27,215.34,210.97,213.53,213.34,"24,682,200"
2025-08-28,207.84,212.90,207.60,212.37,212.18,"20,915,700"
2025-08-27,206.46,209.57,206.39,208.21,208.02,"15,249,000"
2025-08-26,208.37,208.46,206.45,207.95,207.76,"23,051,000"
2025-08-25,207.00,211.09,205.95,209.16,208.97,"22,788,800"
2025-08-22,203.96,209.23,202.13,206.72,206.54,"25,723,700"
2025-08-21,200.72,203.36,200.40,200.62,200.44,"11,768,900"
2025-08-20,201.68,202.17,197.46,200.19,200.01,"13,971,700"
2025-08-19,203.90,204.29,200.93,202.49,202.31,"13,476,600"
2025-08-18,205.07,206.14,203.41,204.29,204.11,"13,000,200"
2025-08-15,204.72,207.33,202.09,204.91,204.73,"21,111,400"
2025-08-14,202.56,205.42,202.32,203.82,203.64,"17,777,100"
2025-08-13,204.98,205.43,198.64,203.03,202.85,"19,573,000"
2025-08-12,202.10,205.13,201.40,204.16,203.98,"19,854,000"
2025-08-11,201.55,202.16,199.80,201.63,201.45,"16,690,200"
2025-08-08,197.98,203.43,197.90,202.09,201.91,"24,379,900"
2025-08-07,197.71,198.37,195.22,197.28,197.10,"14,660,600"
2025-08-06,195.25,197.38,194.47,196.92,196.74,"15,383,700"
2025-08-05,195.54,198.70,194.68,195.32,195.15,"19,010,200"
2025-08-04,191.18,196.08,190.92,195.75,195.58,"23,386,000"
2025-08-01,189.78,191.62,188.70,189.95,189.78,"21,236,700"
2025-07-31,196.60,196.83,192.08,192.86,192.69,"27,852,000"
2025-07-30,196.30,198.48,195.56,197.44,197.26,"21,150,500"
2025-07-29,193.30,196.66,192.99,196.43,196.25,"31,891,600"
2025-07-28,194.41,194.82,191.85,193.42,193.25,"25,553,500"
